Property,Building,Floor,Space,Image,Equipment Position,Asset ID,Asset Name,Quantity,Barcode (Auto),Supplier,Manufacturer (Spec),Manufactured Date,Model Name/No (Spec),Serial Number,Capacity,Height,Width,Depth,Parent Asset ID,Parent Asset Name,In Service Date,Observation Date,Operating Environment,Asset Criticality,Asset Condition Rating,Condition Assessment Comments,Current Utilisation,Asset Service Status,Notes/Comments,Created By,Modified By,Asset Name Lookup (wip),Created
Kiama RAIR Ambulance Station ,Kiama RAIR Ambulance Station ,Ground,,,,,,1.00,0,,,,,,,,,,,,,13/12/2021,2 - Normal,2 - Medium,1 - Excellent,,3 - Normal,,,Mark Steel (NSW Ambulance),Mark Steel (NSW Ambulance),,13/12/2021 11:39
,,Ground,1,,Above entry door,,Emergency Exit Light (Green),1.00,0,,Clevertronics ,,Ultrablade ,,,,,,,,,13/12/2021,2 - Normal,2 - Medium,1 - Excellent,,3 - Normal,,,Mark Steel (NSW Ambulance),Mark Steel (NSW Ambulance),,13/12/2021 11:40
,,Ground,1,,,,A/C Cassette,1.00,0,,Mitsubishi Electric ,,,,,,,,,,,13/12/2021,2 - Normal,2 - Medium,1 - Excellent,,3 - Normal,,,Mark Steel (NSW Ambulance),Mark Steel (NSW Ambulance),,13/12/2021 11:41
,,Ground,1,,,,Emergency Exit Light (Spitfire),1.00,0,,,,,,,,,,,,,13/12/2021,2 - Normal,2 - Medium,1 - Excellent,,3 - Normal,,,Mark Steel (NSW Ambulance),Mark Steel (NSW Ambulance),,13/12/2021 11:41
,,Ground,1,,Start of hallway,,Emergency Exit Light (Green),1.00,0,,Clevertronics ,,Ultrablade ,,,,,,,,,13/12/2021,2 - Normal,2 - Medium,1 - Excellent,,3 - Normal,,,Mark Steel (NSW Ambulance),Mark Steel (NSW Ambulance),,13/12/2021 11:42
,,Ground,1,,Kitchen,,Smoke Detector,1.00,0,,,,,,,,,,,,,13/12/2021,2 - Normal,2 - Medium,1 - Excellent,,3 - Normal,,,Mark Steel (NSW Ambulance),Mark Steel (NSW Ambulance),,13/12/2021 11:42
,,Ground,1,,Kitchen,KIA - 0001,Fire Blanket,1.00,KIA - 0001,,,,,,,,,,,,,13/12/2021,2 - Normal,2 - Medium,1 - Excellent,,3 - Normal,,,Mark Steel (NSW Ambulance),Mark Steel (NSW Ambulance),,13/12/2021 11:43
,,Ground,1,,Under sink ,KIA - 0002,Hot water service,1.00,KIA - 0002,,Billi,,Quadra 460 XL 904060I.CH,Q 0566 5874 LCH,,,,,,,,13/12/2021,2 - Normal,2 - Medium,1 - Excellent,,3 - Normal,,,Mark Steel (NSW Ambulance),Mark Steel (NSW Ambulance),,13/12/2021 11:48
,,Ground,1,,Start of hallway,KIA - 0003,Fie Extinguisher (Powder),1.00,KIA - 0003,,,,,,,,,,,,,13/12/2021,2 - Normal,2 - Medium,1 - Excellent,,3 - Normal,,,Mark Steel (NSW Ambulance),Mark Steel (NSW Ambulance),,13/12/2021 11:49
,,Ground,2,,,KIA - 0004,Fire Extinguisher (C02),1.00,KIA - 0004,,,,,,,,,,,,,13/12/2021,2 - Normal,2 - Medium,1 - Excellent,,3 - Normal,,,Mark Steel (NSW Ambulance),Mark Steel (NSW Ambulance),,13/12/2021 11:51
,,Ground,2,,Centre hallway,,Emergency Exit Light (Spitfire),1.00,0,,,,,,,,,,,,,13/12/2021,2 - Normal,2 - Medium,1 - Excellent,,3 - Normal,,,Mark Steel (NSW Ambulance),Mark Steel (NSW Ambulance),,13/12/2021 11:52
,,Ground,3,,,,Emergency Exit Light (Spitfire),1.00,0,,,,,,,,,,,,,13/12/2021,2 - Normal,2 - Medium,1 - Excellent,,3 - Normal,,,Mark Steel (NSW Ambulance),Mark Steel (NSW Ambulance),,13/12/2021 11:52
,,Ground,3,,,KIA - 0005,TMV,1.00,KIA - 0005,,Enware ,,Aqua blend 1500 TMV,,,,,,,,,13/12/2021,2 - Normal,2 - Medium,1 - Excellent,,3 - Normal,,,Mark Steel (NSW Ambulance),Mark Steel (NSW Ambulance),,13/12/2021 11:56
,,Ground,4,,,KIA - 0006,TMV,1.00,KIA - 0006,,Enware,,Aquablend 1500 TMV,,,,,,,,,13/12/2021,2 - Normal,2 - Medium,1 - Excellent,,3 - Normal,,,Mark Steel (NSW Ambulance),Mark Steel (NSW Ambulance),,13/12/2021 12:00
,,Ground,5,,,KIA - 0007,TMV,1.00,KIA - 0007,,Enware,,Aquablend 1500 TMV,,,,,,,,,13/12/2021,2 - Normal,2 - Medium,1 - Excellent,,3 - Normal,,,Mark Steel (NSW Ambulance),Mark Steel (NSW Ambulance),,13/12/2021 12:03
,,Ground,7,,,,Emergency Exit Light (Green),1.00,0,,Clevertronics ,,Ultrablade ,,,,,,,,,13/12/2021,2 - Normal,2 - Medium,1 - Excellent,,3 - Normal,,,Mark Steel (NSW Ambulance),Mark Steel (NSW Ambulance),,13/12/2021 12:08
,,Ground,7,,,KIA - 0008,A/C Centralized Controller,1.00,KIA - 0008,,Mitsubishi ,,AE-200E,13B67-036,,,,,,,,13/12/2021,2 - Normal,2 - Medium,1 - Excellent,,3 - Normal,,,Mark Steel (NSW Ambulance),Mark Steel (NSW Ambulance),,13/12/2021 12:11
,,Ground,7,,,,A/C Cassette,1.00,0,,Mitsubishi Electric ,,,,,,,,,,,13/12/2021,2 - Normal,2 - Medium,1 - Excellent,,3 - Normal,,,Mark Steel (NSW Ambulance),Mark Steel (NSW Ambulance),,13/12/2021 12:11
,,Ground,8,,,KIA - 0009,Fire Extinguisher (FOAM),1.00,KIA - 0009,,,,,,,,,,,,,13/12/2021,2 - Normal,2 - Medium,1 - Excellent,,3 - Normal,,,Mark Steel (NSW Ambulance),Mark Steel (NSW Ambulance),,13/12/2021 12:18
,,Ground,8,,,KIA - 0010,Fie Extinguisher (Powder),1.00,KIA - 0010,,,,,,,,,,,,,13/12/2021,2 - Normal,2 - Medium,1 - Excellent,,3 - Normal,,,Mark Steel (NSW Ambulance),Mark Steel (NSW Ambulance),,13/12/2021 12:19
,,Ground,8,,,KIA - 0011,Fire Blanket,1.00,KIA - 0011,,,,,,,,,,,,,13/12/2021,2 - Normal,2 - Medium,1 - Excellent,,3 - Normal,,,Mark Steel (NSW Ambulance),Mark Steel (NSW Ambulance),,13/12/2021 12:19
,,Ground,8,,Closest to offices,,Wallmount Battery Charger,1.00,0,,DURST ,,BCSW - 1225 B,124187,,,,,,,,13/12/2021,2 - Normal,2 - Medium,1 - Excellent,,3 - Normal,,,Mark Steel (NSW Ambulance),Mark Steel (NSW Ambulance),,13/12/2021 12:23
,,Ground,8,,Closest to offices,,Vehicle Battery Charger,1.00,0,,DURST,,BCS - 1225C,A90418088,,,,,,,,13/12/2021,2 - Normal,2 - Medium,1 - Excellent,,3 - Normal,,,Mark Steel (NSW Ambulance),Mark Steel (NSW Ambulance),,13/12/2021 12:24
,,Ground,8,,Second from offices,,Wallmount Battery Charger,1.00,0,,Durst ,,BCSW - 1225 B,124184,,,,,,,,13/12/2021,2 - Normal,2 - Medium,1 - Excellent,,3 - Normal,,,Mark Steel (NSW Ambulance),Mark Steel (NSW Ambulance),,13/12/2021 12:25
,,Ground,8,,Second from offices,,Vehicle Battery Charger,1.00,0,,Durst ,,BCS - 1225C,A90418085,,,,,,,,13/12/2021,2 - Normal,2 - Medium,1 - Excellent,,3 - Normal,,,Mark Steel (NSW Ambulance),Mark Steel (NSW Ambulance),,13/12/2021 12:25
,,Ground,8,,Exit to rear station,,Emergency Exit Light (Green),1.00,0,,Clevertronics ,,Swingblade,,,,,,,,,13/12/2021,2 - Normal,2 - Medium,1 - Excellent,,3 - Normal,,,Mark Steel (NSW Ambulance),Mark Steel (NSW Ambulance),,13/12/2021 12:26
,,Ground,8,,,,Wallmount Battery Charger,1.00,0,,Durst ,,BCSW - 1225 B,124188,,,,,,,,13/12/2021,2 - Normal,2 - Medium,1 - Excellent,,3 - Normal,,,Mark Steel (NSW Ambulance),Mark Steel (NSW Ambulance),,13/12/2021 12:27
,,Ground,8,,,,Vehicle Battery Charger,1.00,0,,Durst ,,BCS - 1225C,A90418079,,,,,,,,13/12/2021,2 - Normal,2 - Medium,1 - Excellent,,3 - Normal,,,Mark Steel (NSW Ambulance),Mark Steel (NSW Ambulance),,13/12/2021 12:28
,,Ground,8,,,,Wallmount Battery Charger,1.00,0,,Durst ,,BCSW - 1225 B,124185,,,,,,,,13/12/2021,2 - Normal,2 - Medium,1 - Excellent,,3 - Normal,,,Mark Steel (NSW Ambulance),Mark Steel (NSW Ambulance),,13/12/2021 12:29
,,Ground,8,,,,Vehicle Battery Charger,1.00,0,,Durst ,,BCS - 1225C,A90418086,,,,,,,,13/12/2021,2 - Normal,2 - Medium,1 - Excellent,,3 - Normal,,,Mark Steel (NSW Ambulance),Mark Steel (NSW Ambulance),,13/12/2021 12:29
,,Ground,8,,Exit at end of Plantroom ,,Emergency Exit Light (Green),1.00,0,,Clevertronics ,,Swingblade ,,,,,,,,,13/12/2021,2 - Normal,2 - Medium,1 - Excellent,,3 - Normal,,,Mark Steel (NSW Ambulance),Mark Steel (NSW Ambulance),,13/12/2021 12:30
,,Ground,8,,Bifold door furthest from offices,,Bi-Fold door motor,1.00,0,Chamberlain ,Grifco ,1/12/2017,EDL102,17B080248,,,,,,,,13/12/2021,2 - Normal,2 - Medium,1 - Excellent,,3 - Normal,,,Mark Steel (NSW Ambulance),Mark Steel (NSW Ambulance),,13/12/2021 12:45
,,Ground,8,,Bifold door closer to station,,Bi-Fold door motor,1.00,0,,Grifco,1/2/2020,EDH102,19C020094,,,,,,,,13/12/2021,2 - Normal,2 - Medium,1 - Excellent,,3 - Normal,,,Mark Steel (NSW Ambulance),Mark Steel (NSW Ambulance),,13/12/2021 12:53
,,Ground,8,,Closer to Station offices,KIA - 0012,Automatic Bi-fold Door,1.00,KIA - 0012,,,,,,,3.4,7.7,,,,,13/12/2021,2 - Normal,2 - Medium,1 - Excellent,,3 - Normal,,,Mark Steel (NSW Ambulance),Mark Steel (NSW Ambulance),,13/12/2021 12:57
,,Ground,8,,Further from Station offices,KIA - 0013,Automatic Bi-fold Door,1.00,KIA - 0013,,,,,,,3.4,7.7,,,,,13/12/2021,2 - Normal,2 - Medium,1 - Excellent,,3 - Normal,,,Mark Steel (NSW Ambulance),Mark Steel (NSW Ambulance),,13/12/2021 12:59
,,Ground,8,,Between bifold doors,KIA - 0014,UPS (single phase),1.00,KIA - 0014,,Delta,,UPS202N2000B0B6,86v19500083WH,,,,,,,,13/12/2021,2 - Normal,2 - Medium,1 - Excellent,,3 - Normal,,,Mark Steel (NSW Ambulance),Mark Steel (NSW Ambulance),,13/12/2021 13:01
,,Ground,8,,Between bifold door ,KIA - 0015,UPS (single phase),1.00,KIA - 0015,,Delta,,UPS202N2000B0B6,86V19500079WH,,,,,,,,13/12/2021,2 - Normal,2 - Medium,1 - Excellent,,3 - Normal,,,Mark Steel (NSW Ambulance),Mark Steel (NSW Ambulance),,13/12/2021 13:03
,,Ground,10,,,,A/C Cassette,1.00,0,,Mitsubishi Electric ,,,,,,,,,,,13/12/2021,2 - Normal,2 - Medium,1 - Excellent,,3 - Normal,,,Mark Steel (NSW Ambulance),Mark Steel (NSW Ambulance),,13/12/2021 13:05
,,Ground,10,,,,Emergency Exit Light (Green),1.00,0,,Clevertronics ,,Ultrablade ,,,,,,,,,13/12/2021,2 - Normal,2 - Medium,1 - Excellent,,3 - Normal,,,Mark Steel (NSW Ambulance),Mark Steel (NSW Ambulance),,13/12/2021 13:06
,,Ground,10,,,KIA - 0016,EKA controller box,1.00,KIA - 0016,,,,,,,,,,,,,13/12/2021,2 - Normal,2 - Medium,1 - Excellent,,3 - Normal,,,Mark Steel (NSW Ambulance),Mark Steel (NSW Ambulance),,13/12/2021 13:06
,,Ground,10,,,KIA - 0017,Safe,1.00,KIA - 0017,,Guardall,,,,,,,,,,,13/12/2021,2 - Normal,2 - Medium,1 - Excellent,,3 - Normal,,,Mark Steel (NSW Ambulance),Mark Steel (NSW Ambulance),,13/12/2021 13:07
,,Ground,11,,,KIA - 0018,A/C Unit Split (Indoor),1.00,KIA - 0018,,Mitsubishi Electric ,,MSZ-GE50VAD,8000145,,,,,,,,13/12/2021,2 - Normal,2 - Medium,1 - Excellent,,3 - Normal,,,Mark Steel (NSW Ambulance),Mark Steel (NSW Ambulance),,13/12/2021 13:36
,,Ground,12,,,,A/C Cassette,1.00,0,,Mitsubishi ,,,,,,,,,,,13/12/2021,2 - Normal,2 - Medium,1 - Excellent,,3 - Normal,,,Mark Steel (NSW Ambulance),Mark Steel (NSW Ambulance),,13/12/2021 13:37
,,Ground,13,processed-2AFA6491-990A-4B93-8329-C0FF9AA6B2AE-BB59711C-C803-4895-99FB-21054D98DFCE.jpeg,,KIA - 0019,Distribution Board,1.00,KIA - 0019,,Relec switchboards,,,,,,,,,,,13/12/2021,2 - Normal,2 - Medium,1 - Excellent,,3 - Normal,,,Mark Steel (NSW Ambulance),Mark Steel (NSW Ambulance),,13/12/2021 13:39
,,Ground,13,processed-AFB81785-B7E1-46CB-B603-53229FC97AB2-E3A98AC8-2141-4085-9ABC-2709899F02DD.jpeg,,,RCBO,24.00,0,,Schneider electric,,IC60N RCBO C16,,,,,,KIA - 0019,,,13/12/2021,2 - Normal,2 - Medium,1 - Excellent,,3 - Normal,,,Mark Steel (NSW Ambulance),Mark Steel (NSW Ambulance),,13/12/2021 13:41
,,Ground,13,,,KIA - 0020,Solar Inverter,1.00,KIA - 0020,,SUNGROW ,,SG15RT,A2141602199,,,,,,,,13/12/2021,2 - Normal,2 - Medium,1 - Excellent,,3 - Normal,,,Mark Steel (NSW Ambulance),Mark Steel (NSW Ambulance),,13/12/2021 13:44
,,Ground,14,processed-AF2BC519-9684-47A7-875D-2B1D679E0C96-A4BBFFF6-9A1B-46B4-9588-6D70E2D331C6.jpeg,,KIA - 0021,Single pump controller,1.00,KIA - 0021,,All Pumps ,,APS-15005,58879,,,,,,,,13/12/2021,2 - Normal,2 - Medium,1 - Excellent,,3 - Normal,,,Mark Steel (NSW Ambulance),Mark Steel (NSW Ambulance),,13/12/2021 13:47
,,Ground,14,,,KIA - 0022,Oil Separator Tank,1.00,KIA - 0022,,Kwikflo environmental,,KCPS-1000,21330-3,200,,,,,,,13/12/2021,2 - Normal,2 - Medium,1 - Excellent,,3 - Normal,,Manufacturer could also be All Pumps. Please confirm,Mark Steel (NSW Ambulance),Mark Steel (NSW Ambulance),,13/12/2021 13:50
